scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
supply_quota,mid,endogenous,82,238969,0.8333,48.4574
supply_quota,mid,endogenous,83,810621,0.5333,35.4716
supply_quota,mid,endogenous,84,303446,0.7667,36.6934
supply_quota,mid,endogenous,85,83668,0.6,43.1349
supply_quota,mid,endogenous,86,896866,0.7333,30.3238
supply_quota,mid,endogenous,87,244099,0.7667,39.4137
supply_quota,mid,endogenous,88,908574,0.7667,45.7468
supply_quota,mid,endogenous,89,105908,0.7333,43.2672
supply_quota,mid,endogenous,90,398592,0.8333,44.593
supply_quota,mid,endogenous,91,291477,0.9,43.5129
supply_quota,mid,endogenous,92,475436,0.6,33.7491
supply_quota,mid,endogenous,93,666564,0.9333,39.2591
supply_quota,mid,endogenous,94,874629,0.7,49.4124
supply_quota,mid,endogenous,95,382555,0.8,45.2169
supply_quota,mid,endogenous,96,170556,0.7,40.1071
supply_quota,mid,endogenous,97,388163,0.8,36.9767
supply_quota,mid,endogenous,98,372529,0.5667,43.7099
supply_quota,mid,endogenous,99,219685,0.9333,43.8275
supply_quota,mid,endogenous,100,702730,0.5333,43.5607
supply_quota,mid,endogenous,101,279947,0.5333,31.8764
supply_quota,mid,endogenous,102,735912,0.6,31.4263
supply_quota,mid,endogenous,103,982154,0.6667,46.1456
supply_quota,mid,endogenous,104,716752,0.7,32.2479
supply_quota,mid,endogenous,105,679515,0.5,35.2541
supply_quota,mid,endogenous,106,74871,0.8667,50.1361
supply_quota,mid,endogenous,107,638721,0.9333,49.2589
supply_quota,mid,endogenous,108,665823,0.9,33.17
supply_quota,mid,endogenous,109,179452,0.3333,37.1105
supply_quota,mid,endogenous,110,560087,0.4667,33.1099
supply_quota,mid,endogenous,111,764545,0.8,27.5812
supply_quota,mid,endogenous,112,256703,0.9333,34.691
supply_quota,mid,endogenous,113,171340,0.6333,33.4387
